[1/300] Q001 A_纯LLM NG  eta=36.9min
[41/300] Q014 B_RAG OK  eta=44.2min
[42/300] Q014 C_RAG+护栏+工具 OK  eta=46.7min
[43/300] Q015 A_纯LLM OK  eta=47.4min
[44/300] Q015 B_RAG OK  eta=47.0min
[45/300] Q015 C_RAG+护栏+工具 OK  eta=47.6min
[46/300] Q016 A_纯LLM OK  eta=47.9min
[47/300] Q016 B_RAG OK  eta=47.3min
[48/300] Q016 C_RAG+护栏+工具 OK  eta=48.4min
[49/300] Q017 A_纯LLM NG  eta=49.3min
[50/300] Q017 B_RAG OK  eta=49.3min
[51/300] Q017 C_RAG+护栏+工具 OK  eta=49.8min
[52/300] Q018 A_纯LLM OK  eta=49.8min
[53/300] Q018 B_RAG OK  eta=49.6min
[54/300] Q018 C_RAG+护栏+工具 OK  eta=49.8min
[55/300] Q019 A_纯LLM OK  eta=49.9min
[56/300] Q019 B_RAG OK  eta=49.4min
[57/300] Q019 C_RAG+护栏+工具 OK  eta=49.8min
[58/300] Q020 A_纯LLM OK  eta=50.2min
[59/300] Q020 B_RAG OK  eta=50.4min
[60/300] Q020 C_RAG+护栏+工具 OK  eta=51.0min
[61/300] Q021 A_纯LLM NG  eta=51.2min
[62/300] Q021 B_RAG OK  eta=50.5min
[63/300] Q021 C_RAG+护栏+工具 OK  eta=50.2min
[64/300] Q022 A_纯LLM NG  eta=50.1min
[65/300] Q022 B_RAG OK  eta=49.7min
[66/300] Q022 C_RAG+护栏+工具 OK  eta=49.4min
[67/300] Q023 A_纯LLM OK  eta=49.2min
[68/300] Q023 B_RAG OK  eta=48.4min
[69/300] Q023 C_RAG+护栏+工具 OK  eta=47.8min
[70/300] Q024 A_纯LLM NG  eta=47.6min
[71/300] Q024 B_RAG OK  eta=46.9min
[72/300] Q024 C_RAG+护栏+工具 OK  eta=46.3min
[73/300] Q025 A_纯LLM OK  eta=46.0min
[74/300] Q025 B_RAG OK  eta=45.3min
[75/300] Q025 C_RAG+护栏+工具 OK  eta=44.7min
[76/300] Q026 A_纯LLM NG  eta=44.5min
[77/300] Q026 B_RAG OK  eta=43.9min
[78/300] Q026 C_RAG+护栏+工具 OK  eta=43.3min
[79/300] Q027 A_纯LLM NG  eta=43.0min
[80/300] Q027 B_RAG OK  eta=42.5min
[81/300] Q027 C_RAG+护栏+工具 NG  eta=42.0min
[82/300] Q028 A_纯LLM NG  eta=41.7min
[83/300] Q028 B_RAG OK  eta=41.1min
[84/300] Q028 C_RAG+护栏+工具 OK  eta=40.6min
[85/300] Q029 A_纯LLM NG  eta=40.6min
[86/300] Q029 B_RAG OK  eta=40.0min
[87/300] Q029 C_RAG+护栏+工具 OK  eta=39.5min
[88/300] Q030 A_纯LLM NG  eta=39.3min
[89/300] Q030 B_RAG OK  eta=38.8min
[90/300] Q030 C_RAG+护栏+工具 OK  eta=38.4min
[91/300] Q031 A_纯LLM NG  eta=38.2min
[92/300] Q031 B_RAG OK  eta=37.7min
[93/300] Q031 C_RAG+护栏+工具 OK  eta=37.3min
[94/300] Q032 A_纯LLM OK  eta=37.3min
[95/300] Q032 B_RAG OK  eta=36.8min
[96/300] Q032 C_RAG+护栏+工具 OK  eta=36.4min
[97/300] Q033 A_纯LLM NG  eta=36.4min
[98/300] Q033 B_RAG OK  eta=35.9min
[99/300] Q033 C_RAG+护栏+工具 OK  eta=35.6min
[100/300] Q034 A_纯LLM NG  eta=35.5min
[101/300] Q034 B_RAG OK  eta=35.4min
[102/300] Q034 C_RAG+护栏+工具 OK  eta=35.6min
[103/300] Q035 A_纯LLM NG  eta=35.7min
[104/300] Q035 B_RAG OK  eta=35.6min
[105/300] Q035 C_RAG+护栏+工具 OK  eta=35.6min
[106/300] Q036 A_纯LLM OK  eta=35.5min
[107/300] Q036 B_RAG OK  eta=35.3min
[108/300] Q036 C_RAG+护栏+工具 OK  eta=35.4min
[109/300] Q037 A_纯LLM NG  eta=35.7min
[110/300] Q037 B_RAG OK  eta=35.7min
[111/300] Q037 C_RAG+护栏+工具 OK  eta=35.9min
[112/300] Q038 A_纯LLM NG  eta=35.8min
[113/300] Q038 B_RAG OK  eta=35.4min
[114/300] Q038 C_RAG+护栏+工具 OK  eta=35.3min
[115/300] Q039 A_纯LLM OK  eta=35.2min
[116/300] Q039 B_RAG OK  eta=34.8min
[117/300] Q039 C_RAG+护栏+工具 OK  eta=34.6min
[118/300] Q040 A_纯LLM OK  eta=34.5min
[119/300] Q040 B_RAG OK  eta=34.1min
[120/300] Q040 C_RAG+护栏+工具 OK  eta=33.7min
[121/300] Q041 A_纯LLM OK  eta=33.6min
[122/300] Q041 B_RAG NG  eta=33.3min
[123/300] Q041 C_RAG+护栏+工具 OK  eta=33.0min
[124/300] Q042 A_纯LLM NG  eta=32.8min
[125/300] Q042 B_RAG NG  eta=32.4min
[126/300] Q042 C_RAG+护栏+工具 OK  eta=32.2min
[127/300] Q043 A_纯LLM NG  eta=32.1min
[128/300] Q043 B_RAG NG  eta=31.7min
[129/300] Q043 C_RAG+护栏+工具 OK  eta=31.5min
[130/300] Q044 A_纯LLM NG  eta=31.4min
[131/300] Q044 B_RAG NG  eta=31.1min
[132/300] Q044 C_RAG+护栏+工具 OK  eta=30.9min
[133/300] Q045 A_纯LLM OK  eta=30.7min
[134/300] Q045 B_RAG NG  eta=30.4min
[135/300] Q045 C_RAG+护栏+工具 OK  eta=30.2min
[136/300] Q046 A_纯LLM NG  eta=30.1min
[137/300] Q046 B_RAG NG  eta=29.8min
[138/300] Q046 C_RAG+护栏+工具 OK  eta=29.6min
[139/300] Q047 A_纯LLM NG  eta=29.5min
[140/300] Q047 B_RAG OK  eta=29.2min
[141/300] Q047 C_RAG+护栏+工具 OK  eta=28.9min
[142/300] Q048 A_纯LLM NG  eta=28.7min
[143/300] Q048 B_RAG NG  eta=28.5min
[144/300] Q048 C_RAG+护栏+工具 OK  eta=28.2min
[145/300] Q049 A_纯LLM NG  eta=28.1min
[146/300] Q049 B_RAG NG  eta=27.8min
[147/300] Q049 C_RAG+护栏+工具 OK  eta=27.5min
[148/300] Q050 A_纯LLM NG  eta=27.3min
[149/300] Q050 B_RAG NG  eta=27.0min
[150/300] Q050 C_RAG+护栏+工具 OK  eta=26.8min
[151/300] Q051 A_纯LLM NG  eta=26.7min
[152/300] Q051 B_RAG NG  eta=26.4min
[153/300] Q051 C_RAG+护栏+工具 OK  eta=26.2min
[154/300] Q052 A_纯LLM OK  eta=26.1min
[155/300] Q052 B_RAG OK  eta=25.8min
[156/300] Q052 C_RAG+护栏+工具 OK  eta=25.6min
[157/300] Q053 A_纯LLM OK  eta=25.4min
[158/300] Q053 B_RAG OK  eta=25.1min
[159/300] Q053 C_RAG+护栏+工具 OK  eta=24.8min
[160/300] Q054 A_纯LLM NG  eta=24.7min
[161/300] Q054 B_RAG OK  eta=24.4min
[162/300] Q054 C_RAG+护栏+工具 OK  eta=24.1min
[163/300] Q055 A_纯LLM OK  eta=24.0min
[164/300] Q055 B_RAG NG  eta=23.7min
[165/300] Q055 C_RAG+护栏+工具 OK  eta=23.5min
[166/300] Q056 A_纯LLM OK  eta=23.4min
[167/300] Q056 B_RAG OK  eta=23.1min
[168/300] Q056 C_RAG+护栏+工具 OK  eta=22.9min
[169/300] Q057 A_纯LLM OK  eta=22.8min
[170/300] Q057 B_RAG OK  eta=22.5min
[171/300] Q057 C_RAG+护栏+工具 NG  eta=22.2min
[172/300] Q058 A_纯LLM NG  eta=22.1min
[173/300] Q058 B_RAG OK  eta=21.8min
[174/300] Q058 C_RAG+护栏+工具 OK  eta=21.6min
[175/300] Q059 A_纯LLM NG  eta=21.4min
[176/300] Q059 B_RAG OK  eta=21.2min
[177/300] Q059 C_RAG+护栏+工具 OK  eta=21.0min
[178/300] Q060 A_纯LLM NG  eta=20.8min
[179/300] Q060 B_RAG OK  eta=20.5min
[180/300] Q060 C_RAG+护栏+工具 OK  eta=20.3min
[181/300] Q061 A_纯LLM NG  eta=20.2min
[182/300] Q061 B_RAG OK  eta=19.9min
[183/300] Q061 C_RAG+护栏+工具 OK  eta=19.7min
[184/300] Q062 A_纯LLM NG  eta=19.5min
[185/300] Q062 B_RAG OK  eta=19.3min
[186/300] Q062 C_RAG+护栏+工具 OK  eta=19.0min
[187/300] Q063 A_纯LLM NG  eta=18.9min
[188/300] Q063 B_RAG OK  eta=18.7min
[189/300] Q063 C_RAG+护栏+工具 OK  eta=18.4min
[190/300] Q064 A_纯LLM NG  eta=18.2min
[191/300] Q064 B_RAG NG  eta=18.0min
[192/300] Q064 C_RAG+护栏+工具 OK  eta=17.7min
[193/300] Q065 A_纯LLM NG  eta=17.6min
[194/300] Q065 B_RAG NG  eta=17.4min
[195/300] Q065 C_RAG+护栏+工具 OK  eta=17.1min
[196/300] Q066 A_纯LLM NG  eta=17.0min
[197/300] Q066 B_RAG NG  eta=16.8min
[198/300] Q066 C_RAG+护栏+工具 OK  eta=16.5min
[199/300] Q067 A_纯LLM NG  eta=16.4min
[200/300] Q067 B_RAG NG  eta=16.2min
[201/300] Q067 C_RAG+护栏+工具 OK  eta=16.0min
[202/300] Q068 A_纯LLM NG  eta=15.8min
[203/300] Q068 B_RAG OK  eta=15.6min
[204/300] Q068 C_RAG+护栏+工具 OK  eta=15.4min
[205/300] Q069 A_纯LLM NG  eta=15.3min
[206/300] Q069 B_RAG OK  eta=15.1min
[207/300] Q069 C_RAG+护栏+工具 OK  eta=14.8min
[208/300] Q070 A_纯LLM NG  eta=14.7min
[209/300] Q070 B_RAG OK  eta=14.5min
[210/300] Q070 C_RAG+护栏+工具 OK  eta=14.3min
[211/300] Q071 A_纯LLM NG  eta=14.2min
[212/300] Q071 B_RAG NG  eta=14.0min
[213/300] Q071 C_RAG+护栏+工具 OK  eta=13.8min
[214/300] Q072 A_纯LLM NG  eta=13.6min
[215/300] Q072 B_RAG OK  eta=13.4min
[216/300] Q072 C_RAG+护栏+工具 OK  eta=13.2min
[217/300] Q073 A_纯LLM NG  eta=13.1min
[218/300] Q073 B_RAG NG  eta=12.9min
[219/300] Q073 C_RAG+护栏+工具 OK  eta=12.7min
[220/300] Q074 A_纯LLM OK  eta=12.5min
[221/300] Q074 B_RAG OK  eta=12.4min
[222/300] Q074 C_RAG+护栏+工具 OK  eta=12.1min
[223/300] Q075 A_纯LLM NG  eta=12.0min
[224/300] Q075 B_RAG NG  eta=11.8min
[225/300] Q075 C_RAG+护栏+工具 OK  eta=11.6min
[226/300] Q076 A_纯LLM NG  eta=11.5min
[227/300] Q076 B_RAG NG  eta=11.3min
[228/300] Q076 C_RAG+护栏+工具 OK  eta=11.1min
[229/300] Q077 A_纯LLM NG  eta=11.0min
[230/300] Q077 B_RAG NG  eta=10.8min
[231/300] Q077 C_RAG+护栏+工具 OK  eta=10.6min
[232/300] Q078 A_纯LLM NG  eta=10.5min
[233/300] Q078 B_RAG OK  eta=10.3min
[234/300] Q078 C_RAG+护栏+工具 OK  eta=10.1min
[235/300] Q079 A_纯LLM NG  eta=10.0min
[236/300] Q079 B_RAG NG  eta=9.8min
[237/300] Q079 C_RAG+护栏+工具 OK  eta=9.6min
[238/300] Q080 A_纯LLM NG  eta=9.5min
[239/300] Q080 B_RAG OK  eta=9.3min
[240/300] Q080 C_RAG+护栏+工具 OK  eta=9.1min
[241/300] Q081 A_纯LLM NG  eta=9.0min
[242/300] Q081 B_RAG OK  eta=8.8min
[243/300] Q081 C_RAG+护栏+工具 OK  eta=8.6min
[244/300] Q082 A_纯LLM NG  eta=8.5min
[245/300] Q082 B_RAG OK  eta=8.3min
[246/300] Q082 C_RAG+护栏+工具 OK  eta=8.1min
[247/300] Q083 A_纯LLM NG  eta=8.0min
[248/300] Q083 B_RAG NG  eta=7.8min
[249/300] Q083 C_RAG+护栏+工具 OK  eta=7.6min
[250/300] Q084 A_纯LLM OK  eta=7.5min
[251/300] Q084 B_RAG NG  eta=7.3min
[252/300] Q084 C_RAG+护栏+工具 OK  eta=7.1min
[253/300] Q085 A_纯LLM NG  eta=7.0min
[254/300] Q085 B_RAG OK  eta=6.8min
[255/300] Q085 C_RAG+护栏+工具 OK  eta=6.7min
[256/300] Q086 A_纯LLM NG  eta=6.5min
[257/300] Q086 B_RAG OK  eta=6.4min
[258/300] Q086 C_RAG+护栏+工具 OK  eta=6.2min
[259/300] Q087 A_纯LLM NG  eta=6.1min
[260/300] Q087 B_RAG OK  eta=5.9min
[261/300] Q087 C_RAG+护栏+工具 NG  eta=5.7min
[262/300] Q088 A_纯LLM NG  eta=5.6min
[263/300] Q088 B_RAG NG  eta=5.5min
[264/300] Q088 C_RAG+护栏+工具 NG  eta=5.3min
[265/300] Q089 A_纯LLM NG  eta=5.2min
[266/300] Q089 B_RAG OK  eta=5.0min
[267/300] Q089 C_RAG+护栏+工具 OK  eta=4.9min
[268/300] Q090 A_纯LLM NG  eta=4.7min
[269/300] Q090 B_RAG NG  eta=4.6min
[270/300] Q090 C_RAG+护栏+工具 NG  eta=4.4min
[271/300] Q091 A_纯LLM NG  eta=4.3min
[272/300] Q091 B_RAG OK  eta=4.1min
[273/300] Q091 C_RAG+护栏+工具 OK  eta=3.9min
[274/300] Q092 A_纯LLM OK  eta=3.8min
[275/300] Q092 B_RAG OK  eta=3.6min
[276/300] Q092 C_RAG+护栏+工具 OK  eta=3.5min
[277/300] Q093 A_纯LLM NG  eta=3.4min
[278/300] Q093 B_RAG OK  eta=3.2min
[279/300] Q093 C_RAG+护栏+工具 OK  eta=3.1min
[280/300] Q094 A_纯LLM NG  eta=2.9min
[281/300] Q094 B_RAG OK  eta=2.8min
[282/300] Q094 C_RAG+护栏+工具 OK  eta=2.6min
[283/300] Q095 A_纯LLM NG  eta=2.5min
[284/300] Q095 B_RAG OK  eta=2.3min
[285/300] Q095 C_RAG+护栏+工具 OK  eta=2.2min
[286/300] Q096 A_纯LLM NG  eta=2.0min
[287/300] Q096 B_RAG OK  eta=1.9min
[288/300] Q096 C_RAG+护栏+工具 OK  eta=1.7min
[289/300] Q097 A_纯LLM NG  eta=1.6min
[290/300] Q097 B_RAG OK  eta=1.4min
[291/300] Q097 C_RAG+护栏+工具 OK  eta=1.3min
[292/300] Q098 A_纯LLM NG  eta=1.2min
[293/300] Q098 B_RAG OK  eta=1.0min
[294/300] Q098 C_RAG+护栏+工具 OK  eta=0.9min
[295/300] Q099 A_纯LLM NG  eta=0.7min
[296/300] Q099 B_RAG OK  eta=0.6min
[297/300] Q099 C_RAG+护栏+工具 OK  eta=0.4min
[298/300] Q100 A_纯LLM OK  eta=0.3min
[299/300] Q100 B_RAG OK  eta=0.1min
[300/300] Q100 C_RAG+护栏+工具 OK  eta=0.0min
